Model,MAE ↓,Corr ↑,Acc-2 ↑,Acc-7 ↑,F1 ↑
Text-only,0.658 ± 0.016,0.652 ± 0.010,0.770 ± 0.014,0.445 ± 0.007,0.782 ± 0.008
Audio-only,0.826 ± 0.024,0.324 ± 0.023,0.675 ± 0.022,0.410 ± 0.028,0.677 ± 0.028
Visual-only,0.824 ± 0.031,0.351 ± 0.022,0.697 ± 0.026,0.402 ± 0.026,0.685 ± 0.025
C-NoGate,0.578 ± 0.020,0.740 ± 0.008,0.798 ± 0.016,0.518 ± 0.008,0.808 ± 0.015
S-NoGate,0.565 ± 0.011,0.748 ± 0.010,0.807 ± 0.019,0.512 ± 0.004,0.816 ± 0.036
C-PreGate,0.552 ± 0.019,0.750 ± 0.010,0.829 ± 0.012,0.533 ± 0.011,0.840 ± 0.019
S-PreGate,0.540 ± 0.016,0.764 ± 0.005,0.837 ± 0.013,0.532 ± 0.009,0.840 ± 0.020
